,国家（关于在城乡基层充分应用中药汤剂开展新冠病毒感染治疗工作的通知）,国家（关于印发新型冠状病毒感染诊疗方案（试行第十版）的通知）,北京,天津,山西,吉林,黑龙江,上海,安徽,福建,山东,湖南,广东,广西,海南,重庆,四川,云南,陕西,甘肃,内蒙古
麻黄,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1
葛根,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
槟榔,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
苍术,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0
金银花,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,1,1,0,0,0
荆芥,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,1,0
柴胡,1,0,1,1,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,1
荆芥穗,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
薏苡仁,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0
冬瓜子,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
草果,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
黄芪,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
桑叶,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
黄芩,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0,1,1
黄连,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
附子,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
郁金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
广藿香,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0
羌活,1,0,1,1,0,1,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0
炙甘草,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
石膏,1,1,0,1,0,1,1,1,1,0,1,0,0,0,1,0,0,1,1,0,1
苦杏仁,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1
陈皮,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0
连翘,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1
防风,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
百合,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
葶苈子,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
白芍,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
党参,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
瓜蒌子,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
牛蒡子,0,1,1,1,0,0,1,0,1,1,0,1,1,0,1,0,1,0,1,0,0
厚朴,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,1,0,1
干姜,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
射干,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
佩兰,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
菊花,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
白术,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0
金荞麦,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
桂枝,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
独活,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
紫苏叶,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
桑白皮,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
甘草,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
桔梗,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1
法半夏,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
淡竹叶,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0
淡豆豉,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1
滑石,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
前胡,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
川芎,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
浙贝母,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1
知母,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
细辛,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
芦根,1,0,0,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0
薄荷,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0
皂角刺,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
通草,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
青蒿,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
茯苓,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
石菖蒲,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
荷叶,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
天花粉,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
麦冬,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
白芷,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
豆蔻,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
牡丹皮,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
徐长卿,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
玄参,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1
赤芍,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1
泽泻,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
绵马贯众,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
生姜,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0
清半夏,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
板蓝根,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
款冬花,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
猪苓,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
马鞭草,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
虎杖,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0
枳壳,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0
姜半夏,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
地龙,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大枣,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
白前,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
五味子,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
蜘蛛香,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
北沙参,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
辛夷,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
旋覆花,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
升麻,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
苍耳子,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
桃仁,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
南沙参,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
蝉蜕,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
香薷,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
蒲公英,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
马勃,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
麦芽,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
栀子,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
没药,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鱼腥草,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
太子参,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
大青叶,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
焦槟榔,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
豨莶草,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
车前草,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
化橘红,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
白茅根,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
蒲黄,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
枇杷叶,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
威灵仙,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
防己,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
蜂房,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
僵蚕,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
紫菀,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大黄,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
蒺藜,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山楂,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
茵陈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
山药,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
枳实,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
